ferdinand_berthoud,ferdinand_berthoud,Ferdinand Berthoud,person,1727–1807,,,"Neuchâtel, Switzerland",46.995,6.969,"Ferdinand Berthoud, originally from the Swiss Jura, was born into a family of clockmakers and notable figures. He learned the trade from his brother in Couvet, then moved to Paris at the age of 18, where he became a clock- and pendulum-maker.",images/people/ferdinand_berthoud_thumb.jpg,,content/people/ferdinand-berthoud.en.md,
john_arnold,john_arnold,John Arnold,person,1736–1799,,,"London, England",51.507,-0.127,"John Arnold was the son of an English clockmaker. A family quarrel drove him to flee at the age of 19 to Holland, then Germany, where he survived as a gunsmith. Upon returning to London, he quickly became famous thanks to his mechanical genius and inventive spirit.",images/people/john_arnold_thumb.jpg,,content/people/john-arnold.en.md,
henri_robert_ekegren,henri_robert_ekegren,Henri Robert Ekegren,person,1823–1896,,,"Copenhagen, Denmark",55.676,12.568,"Born in Copenhagen in 1823, Lars Emil Johansen was the son of a Swedish father and a Danish mother. He worked in Denmark, Switzerland, France, and Germany alongside major figures of watchmaking such as Urban and Jules Jürgensen, Winnerl, and Adolph Lange. In 1847, he settled in Geneva, where he became clockmaker to the King of Denmark and co-founded a watchmaking manufacture.",images/people/henri_robert_ekegren_thumb.jpg,,content/people/henri-robert-ekegren.en.md,
daniel_quare,daniel_quare,Daniel Quare,person,1648–1724,,,"East London, England",51.507,-0.127,"An English clockmaker based in London, an influential member of the Clockmakers’ Company. Active at the end of the 17th century, Daniel Quare is recognized as one of the great masters of British clockmaking.",images/people/daniel_quare_thumb.jpg,images/people/daniel_quare.jpg,content/people/daniel_quare.en.md,
george_graham,george_graham,Georg Graham,person,1673–1751,,,"Yorkshire, England",53.991,-1.541,"Originally from Yorkshire and orphaned at a very young age, George Graham went to London as an apprentice. Protected and later the son-in-law of Thomas Tompion, he inherited his workshop in 1713. A distinguished member of the Royal Society, he became a pillar of British scientific clockmaking.",images/people/george_graham_thumb.jpg,,content/people/george-graham.en.md,
hisashige_tanaka,hisashige_tanaka,Hisashige Tanaka,person,1799–1881,,,"Kurume, Japan",33.313,130.507,"Hisashige Tanaka was born in Kurume, in feudal Japan, the eldest son of a tortoiseshell craftsman. From a very young age, he displayed an early mechanical genius. Rather than taking over the family business, he arranged to leave that role to his brother so he could devote himself to his art: karakuri automata and mechanical inventions.",images/people/hisashige_tanaka_thumb.jpg,,content/people/hisashige-tanaka.en.md,
adrien_philippe,adrien_philippe,Adrien Philippe,person,1815–1894,,," La Bazoche-Gouët, France",48.116,0.993,"The son of a rural French clockmaker, he was born in La Bazoche-Gouët. Trained in mechanics from a very young age, he left his village at 18 for Le Havre, where he repaired marine chronometers, then worked in London before settling in Paris in 1836. In his pursuit of excellence, he dreamed of restoring luxury watchmaking in the manner of Breguet.",images/people/adrien_philippe_thumb.jpg,,content/people/adrien-philippe.en.md,
louis_benjamin_audemars,louis_benjamin_audemars,Louis Benjamin Audemars,person,1782–1833,,,"La Brassus, Switzerland",46.611,6.321,"A Swiss clockmaker born and active in Le Brassus, in the Vallée de Joux, Louis-Benjamin Audemars came from a lineage of artisans. Trained by a master now unknown — perhaps his uncle Daniel Piguet, or Philippe-Samuel Meylan, his future friend and indirect associate — he founded his own company, Louis Audemars, in 1811, starting from Meylan’s workshop.",images/people/louis_benjamin_audemars_thumb.jpg,,content/people/louis-benjamin-audemars.en.md,,the_piguet_family_among_the_first_settlers;the_audemars_family_facing_adversity;the_first_watchmakers_of_the_vallee_de_joux
jules_jurgensen,jules_jurgensen,Jules Jurgensen,person,1808–1877,,,"Copenhagen, Denmark",55.676,12.568,"Jules Jürgensen, a Danish-born clockmaker, trained in England and later settled in Switzerland, in Le Locle, at the heart of the watchmaking tradition. Unlike his father and brother, he explored new paths and developed an experimental approach.",images/people/jules_jurgensen_thumb.jpg,images/people/jules_jurgensen.jpg,content/people/jules-jurgensen.en.md,
paul_ditisheim,paul_ditisheim,Paul Ditisheim,person,1868–1945,,,"La Chaux-de-Fonds, Switzerland",47.099,6.825,"Born in La Chaux-de-Fonds, he wanted to become a doctor, but his father steered him toward watchmaking. He entered the School of Watchmaking and, at the age of 23, received a distinction from the British Horological Institute. Despite this, he refused an English career and returned to Switzerland.",images/people/paul_ditisheim_thumb.jpg,,content/people/paul-ditisheim.en.md,
galileo_galilei,galileo_galilei,Galileo Galilei,person,1564–1642,,,"Pisa / Florence, Italy",43.717,10.401,"Galileo, a Tuscan physicist and astronomer and a major figure of modern science, was active in Italy under the patronage of the Medici. He taught in Padua and maintained connections with scholarly circles throughout Europe.",images/people/Galilee_thumb.jpg,,content/people/galileo-galilei.en.md,,galileo-galilei-s-pendulum
thomas_tompion,thomas_tompion,Thomas Tompion,person,1629–1713,,,"Bedforshire, England",52.135,-0.467,"Originally from Bedfordshire and the son of a blacksmith, Tompion acquired expertise in mechanical precision at an early age. Trained in London, he entered the prestigious Clockmakers’ Company in 1671, quickly becoming a central figure in English clockmaking.",images/people/thomas_tompion_thumb.jpg,,content/people/thomas-tompion.en.md,
thomas_mudge,thomas_mudge,Thomas Mudge,person,1717–1794,,,"Exeter, England",50.721,-3.53,"The son of a pastor from Exeter, Thomas Mudge was noticed at a very young age for his dexterity. He was sent to London as an apprentice to George Graham, Tompion’s direct successor. He later became an exceptional independent clockmaker, highly esteemed at the English court.",images/people/thomas_mudge_thumb.jpg,,content/people/thomas-mudge.en.md,
isaac_thuret,isaac_thuret,Isaac Thuret,person,1630–1706,,,"Paris, France",48.857,2.352,"A renowned Parisian clockmaker, established from 1686 under the Grand Gallery of the Louvre, in the former residence of the painter Charles Errard. His lodging was granted by royal patent — proof of his prestige within the court and scientific circles.",images/people/isaac_thuret_thumb.jpg,images/people/isaac_thuret.jpg,content/people/isaac-thuret.en.md,

the_first_ones,the_first_ones,The First Ones,story,-1400–-500,,,Ancient Near East,,, "Early water clocks and sundials in ancient cities symbolized political order and civic life. These public instruments marked the first steps toward collective timekeeping long before personal use.",,,content/stories/the-first-ones.en.md,
the_measurement_of_time,the_measurement_of_time,The Measurement of Time,story,,,,Various,,, "The Roman army divided days and nights into watches using water clocks, creating one of the first institutionalized systems of time discipline. This organization foreshadowed modern time management in schools, factories, and administrations.",images/stories/mesure_temps_armee_romaine_thumb.JPG,,content/stories/the-measurement-of-time.en.md,
who_invented_the_first_clock,who_invented_the_first_clock,Who Invented the First Clock?,story,,,,Various,,, "Although some credit Gerbert of Aurillac around the year 1000, no evidence supports this. The first true mechanical clocks only appeared in the 14th century, built by engineers like Giovanni de Dondi.",images/stories/qui_invente_premiere_horloge_thumb.JPG,,content/stories/who-invented-the-first-clock.en.md,
from_seasonal_time_to_fixed_time,from_seasonal_time_to_fixed_time,From Seasonal Time to Fixed Time,story,,,,Various,,, "Public mechanical clocks spread across European cities in the 14th century, replacing seasonal rhythms with standardized hours. This innovation structured religious, civic, and economic life around fixed time.",images/stories/temps_publique_temps_fixe.jpg,,content/stories/from_seasonal-time-to-fixed-time.en.md,
a_new_perception_of_time,a_new_perception_of_time,A New Perception of Time,story,,,,Europe,,, "As clocks spread, time became a secular and economic resource rather than a divine gift. This shift laid the groundwork for capitalism, treating time as capital to be optimized.",images/stories/nouvelle_perception_temps.JPG,,content/stories/a-new-perception-of-time.en.md,
the_system_of_etablissage,the_system_of_etablissage,The System of Établissage,story,1750–1850,,,"Swiss Jura, Switzerland",,, "Établissage divided watchmaking into specialized tasks carried out by independent artisans. This decentralized model bypassed guild restrictions and became a foundation of Swiss industry.",images/stories/etablissage.JPG,,content/stories/the-system-of-etablissage.en.md,
the_etablisseur_watch_assembler,the_etablisseur_watch_assembler,The Établisseur (Watch Assembler),story,1750–1850,,,"Swiss Jura, Switzerland",,, "The établisseur coordinated production, distributed materials, advanced wages, and assembled final watches. Acting as both organizer and seller, he linked artisans with markets.",images/stories/etablissage_atelier_doreur_thumb.JPG,,content/stories/the-etablisseur-watch-assembler.en.md,
the_merchant_manufacturer,the_merchant_manufacturer,The Merchant-Manufacturer,story,1750–1850,,,"Swiss Jura, Switzerland",,, "Merchant-manufacturers combined trade with production, facing risks from piracy, banditry, and uncertain sales. Their adaptability and boldness fueled the spread of Swiss watches across Europe and beyond.",,,content/stories/the-merchant-manufacturer.en.md,
the_cabinotier_workshop_watchmaker,the_cabinotier_workshop_watchmaker,The Cabinotier (Workshop Watchmaker),story,1700–1850,,,"Geneva, Switzerland",,, "Independent cabinotiers worked in small light-filled workshops, linked to merchants through agents. Their vast network, known as 'La Fabrique,' gave Geneva global watchmaking prestige.",images/stories/cabinotier_thumb.jpg,,content/stories/the-cabinotier-workshop-watchmaker.en.md,
learned_mountain_dwellers,learned_mountain_dwellers,Learned Mountain Dwellers,story,1700–1850,,,"Jura Mountains, Switzerland",,, "Eighteenth-century mountaineers of the Jura were literate and intellectually curious, with libraries of science, history, and philosophy. Their inventive spirit made the region a hub of mechanical innovation.",images/stories/montagnards_erudits_thumb.jpg,,content/stories/learned-mountain-dwellers.en.md,
the_legend_of_jeanrichard,the_legend_of_jeanrichard,The Legend of Jeanrichard,story,1660–1741,,,"La Chaux-de-Fonds, Switzerland",,, "Daniel JeanRichard is credited by legend with bringing watchmaking to the Jura by repairing a foreigner’s watch and training apprentices. In reality, he was one of several pioneers alongside Protestant refugees and Geneva connections.",images/stories/legende_jeanrichard_thumb.JPG,,content/stories/the-legend-of-jeanrichard.en.md,
the_rise_of_the_swiss_jura,the_rise_of_the_swiss_jura,The Rise of the Swiss Jura,story,1700–1900,,,"Swiss Jura, Switzerland",,, "The Jura quickly specialized in complex watches, chronometers, and chains while serving varied markets. Flexible, small-scale production allowed the region to supply both everyday and luxury demands, complementing Geneva’s high-end focus.",,,content/stories/the-rise-of-the-swiss-jura.en.md,
the_longitude_sea_act,the_longitude_sea_act,The Longitude Sea Act,story,1714,,,"London, England",,, "The British Parliament offered huge prizes for a reliable way to measure longitude at sea. John Harrison’s chronometer finally solved the problem, transforming navigation, trade, and global power.",images/stories/longitud_sea_act.jpg,,content/stories/the-longitude-sea-act.en.md,
the-chronometer-that-built-an-empire,the-chronometer-that-built-an-empire,The Chronometer that Built an Empire,story,1750–1850,,,United Kingdom / Global seas,,, "James Cook’s voyages with Kendall’s K-1 chronometer proved precise timekeeping could determine longitude at sea. This breakthrough secured Britain’s naval supremacy and global empire.",images/stories/chronometre_construisit_empire_britannique.JPG,,content/stories/the-chronometer-that-built-an-empire.en.md,
the_barter_of_unsold_watches,the_barter_of_unsold_watches,The Barter of Unsold Watches,story,18th–19th c.,,,Switzerland / France,,, "When unsold, watches were bartered abroad for goods like cloth or spices. This pragmatic practice revealed both the risks of trade and the hardships imposed on poorer artisans.",,,content/stories/the-barter-of-unsold-watches.en.md,
the_english_supremacy,the_english_supremacy,The English Supremacy,story,1650–1750,,,England,,, "In the 18th century, England produced half of Europe’s watches but faced competition from Swiss and Dutch imitations. Smuggling of Geneva watches eroded London’s dominance.",images/stories/suprematie_anglaise_thumb.jpg,,content/stories/the-english-supremacy.en.md,
the_theft_of_time_in_the_factories,the_theft_of_time_in_the_factories,The Theft of Time in the Factories,story,1880–1920,,,USA / UK,,, "Factory workers often accused owners of rigging clocks to steal their labor. Cheap personal watches gave workers a way to contest this, highlighting tensions in industrial time discipline.",images/stories/vol_du_temps_usines.JPG,,content/stories/the-theft-of-time-in-the-factories.en.md,
the_smuggling_of_watches,the_smuggling_of_watches,The Smuggling of Watches,story,18th–19th c.,,,Switzerland / France,,, "Large numbers of Geneva watches entered France illegally, hidden in fish or other goods. Profitable smuggling undermined the French industry while feeding aristocratic demand.",,,content/stories/the-smuggling-of-watches.en.md,
voltaire_and_his_watchmaking_venture,voltaire_and_his_watchmaking_venture,Voltaire and His Watchmaking Venture,story,1770–1778,,,"Ferney, France",,, "Voltaire attracted Geneva artisans to Ferney to build a royal manufacture, with links to Jean-Antoine Lépine. Though short-lived, it symbolized Enlightenment ambition in watchmaking.",images/stories/voltaire_manufacture_royale.JPG,,content/stories/voltaire-and-his-watchmaking-venture.en.md,
the_advent_of_the_railway,the_advent_of_the_railway,The Advent of the Railway,story,1830–1880,,,UK / Europe / USA,,, "Railways demanded precise schedules, leading to the unification of local times into a standard railway time. The telegraph enabled synchronization, making watches vital for safety and industrial progress.",images/stories/avenement_chemin_fer_thumb.JPG,,content/stories/the-advent-of-the-railway.en.md,
the_drunkard_s_key,the_drunkard_s_key,The Drunkard’s Key,story,1800–1900,,,Europe,,, "Traditional watches required delicate key-winding, often leading to mistakes. Breguet’s 'drunkard’s key' only turned the correct way, protecting mechanisms and simplifying use.",images/stories/cle_ivrognes.JPG,,content/stories/the-drunkard-key.en.md,1800,abraham_louis_breguet
the_rise_of_mass_production,the_rise_of_mass_production,The Rise of Mass Production,story,1850–1920,,,USA,,, "American firms pioneered industrial watchmaking with standardized, interchangeable parts. Mass production lowered costs and improved reliability, reshaping the industry worldwide.",images/stories/production_montres_machines_wlatham_watch_thumb.JPG,,content/stories/the-rise-of-mass-production.en.md,1850
the_boom_of_watchmaking,the_boom_of_watchmaking,The Boom of Watchmaking,story,1850–1914,,,Switzerland / USA,,, "From 1850, Swiss and American watchmaking expanded rapidly. Switzerland blended artisanal skill with industry, while the U.S. emphasized mechanization and marketing.",,,content/stories/the-boom-of-watchmaking.en.md,1850
switzerland_dominates_the_market,switzerland_dominates_the_market,Switzerland Dominates the Market,story,1900–1960,,,Switzerland,,, "By the late 19th century, Switzerland controlled two-thirds of global watch value. Its mix of tradition and innovation made it the undisputed leader in all market segments.",,,content/stories/switzerland-dominates-the-market.en.md,1900
american_watchmaking,american_watchmaking,American Watchmaking,story,1850–1930,,,USA,,, "American brands like Waltham and Elgin thrived on mechanization but struggled to adapt to wristwatches and fashion-driven markets. By the 20th century, they fell behind Swiss rivals.",,,content/stories/american-watchmaking.en.md,1850
switzerland_adapts_to_competition,switzerland_adapts_to_competition,Switzerland Adapts to Competition,story,1870–1910,,,Switzerland,,, "Facing American industrial competition, Swiss makers selectively adopted mechanization while preserving artisanal quality. This hybrid model ensured resilience and global dominance.",,,content/stories/switzerland-adapts-to-competition.en.md,1870
the_unification_of_time,the_unification_of_time,The Unification of Time,story,1884,,,Washington D.C. / Greenwich,,, "Railways and telegraphs led nations to adopt unified time, centered on Greenwich in 1884. Standard time replaced local solar times, revolutionizing global coordination.",images/stories/unification_temps_greenwich_1884_washington.JPG,,content/stories/the-unification-of-time.en.md,1884
the_world_championships_of_precision,the_world_championships_of_precision,The World Championships of Precision,story,1870–1960,,,Neuchâtel / Kew Teddington,,, "Swiss watchmakers triumphed in chronometry competitions once dominated by the British. Victories by brands like Patek, Zenith, and Omega confirmed Swiss technical supremacy.",,,content/stories/the-world-championships-of-precision.en.md,1870
the-decline-of-traditional-watchmaking,the-decline-of-traditional-watchmaking,The Decline of Traditional Watchmaking,story,1929–1950,,,USA / UK,,, "The Great Depression and shifting markets crippled traditional American and British watchmaking. Swiss firms adapted faster, consolidating their global lead.",,,content/stories/the-decline-of-traditional-watchmaking.en.md,1929
the_timex_offensive,the_timex_offensive,The Timex Offensive,story,1950–1965,,,USA,,, "Timex disrupted the market with ultra-cheap, durable watches marketed through aggressive advertising. Its slogan 'Takes a licking and keeps on ticking' made it a household name.",,,content/stories/the-timex-offensive.en.md,1950
the_tuning_fork_prelude_to_electronics,the_tuning_fork_prelude_to_electronics,The Tuning Fork – Prelude to Electronics,story,1960–1969,,,USA (Bulova Accutron),,, "Bulova’s Accutron used a vibrating tuning fork for unmatched precision. It marked the transition to electronic watches and paved the way for quartz technology.",,,content/stories/the-tuning-fork-prelude-to-electronics.en.md,1960
the_advent_of_quartz,the_advent_of_quartz,The Advent of Quartz,story,1969–1985,,,Japan / Switzerland,,, "Quartz watches, led by Seiko’s 1969 Astron, delivered unprecedented accuracy at low cost. This 'quartz crisis' devastated Swiss mechanical watchmaking until its reinvention.",,,content/stories/the-advent-of-quartz.en.md,1969
switzerland_on_the_brink_of_collapse,switzerland_on_the_brink_of_collapse,Switzerland on the Brink of Collapse,story,1975–1985,,,Switzerland,,, "The quartz revolution nearly destroyed Switzerland’s mechanical industry, eliminating two-thirds of jobs. Survival depended on innovation, mergers, and rebranding mechanical watches as luxury.",,,content/stories/switzerland-on-the-brink-of-collapse.en.md,
the_beginnings_of_the_grande_complication,the_beginnings_of_the_grande_complication,The Beginnings of the Grande Complication,story,1890–1910,,,Switzerland,,, "Swiss watchmakers mastered combining multiple complications, from calendars to repeaters. These 'grande complications' demonstrated unmatched technical artistry.",,,content/stories/the-beginnings-of-the-grande-complication.en.md,
the_piguet_family_among_the_first_settlers,the_piguet_family_among_the_first_settlers,The Piguet Family – Among the First Settlers,story,1700-1800,,,"Vallée de Joux, Switzerland",,, "Families like the Piguets settled the remote Vallée de Joux and pioneered watchmaking there. Their skills laid the foundation for a regional tradition of excellence.",,,content/stories/the-piguet-family-among-the-first-settlers.en.md,,the_audemars_family_facing_adversity;the_first_watchmakers_of_the_vallee_de_joux
the_audemars_family_facing_adversity,the_audemars_family_facing_adversity,The Audemars Family Facing Adversity,story,1800–1900.,,,"Vallée de Joux, Switzerland",,, "The Audemars family built resilience through hardships like harsh winters and economic crises. Their persistence made them central figures in the valley’s watchmaking story.",,,content/stories/the-audemars-family-facing-adversity.en.md,,the_piguet_family_among_the_first_settlers;the_first_watchmakers_of_the_vallee_de_joux
the_first_watchmakers_of_the_vallee_de_joux,the_first_watchmakers_of_the_vallee_de_joux,The First Watchmakers of the Vallée de Joux,story,1800-1900,,,"Vallée de Joux, Switzerland",,, "The isolated Vallée de Joux fostered watchmakers who crafted high-quality movements in winter months. Their work supplied Geneva and seeded a lasting tradition of excellence.",,,content/stories/the-first-watchmakers-of-the-vallee-de-joux.en.md,,the_piguet_family_among_the_first_settlers;the_audemars_family_facing_adversity
the_royal_oak,the_royal_oak,The Royal Oak,story,1972,,,"Le Brassus / Geneva, Switzerland",,, "Audemars Piguet’s Royal Oak, designed by Gérald Genta in 1972, redefined luxury with its bold steel sports watch. It became a cultural icon and a lifeline for Swiss high horology.",,,content/stories/the_royal_oak.en.md,1972

greek-gnomon,greek-gnomon,Greek Gnomon,device,,,-200.0,"Athens, Greece",37.984,23.727,"A vertical rod used to read the sun’s altitude and mark time, seasons, and geographic latitude. The gnomon helped Greek astronomers quantify the heavens with geometry.",images/devices/Gnomon_egypte_antique.jpg,images/devices/Gnomon_egypte_antique.jpg,,-600.0
babylonian-water-clock-clepsydra,babylonian-water-clock-clepsydra,Babylonian Water Clock (Clepsydra),device,,,-500.0,"Babylon (near Baghdad), Iraq",33.315,44.366,"A regulated flow of water measured equal intervals independent of sunlight. Clepsydrae timed rituals, legal proceedings, and astronomical work in ancient Mesopotamia.",images/devices/Sablier_premier.recense.jpg,images/devices/Sablier_premier.recense.jpg,,-1400.0
su-song-astronomical-clock-tower,su-song-astronomical-clock-tower,Su Song’s Astronomical Clock Tower,device,1092–1094 CE,1092.0,1094.0,"Kaifeng, China",34.797,114.307,"The Chinese scholar Su Song designed a monumental astronomical clock 12 meters high, powered by a waterwheel and composed of about 400 parts. A true cosmic machine, it did more than indicate the time: it represented the movements of the stars, the Earth, and the heavens in a coherent system.",images/devices/Horloge_eau_astronomique_su-song.jpg,images/devices/Horloge_eau_astronomique_su-song.jpg,content/devices/su-song-astronomical-clock-tower.en.md,1092.0,su-song
atomic-clock,atomic-clock,Atomic Clock,device,,,2025.0,"Washington, D.C., USA",38.907,-77.037,"Using vibrations of atoms, these clocks became the ultimate rulers of precision, accurate to billionths of a second. They underpin GPS, global communications, and scientific research. The atomic clock redefined humanity’s mastery of time at a cosmic scale.",images/devices/Horloge_atomique_1949_USA.jpg,images/devices/Horloge_atomique_1949_USA.jpg,content/devices/atomic-clock.en.md,1955.0
egyptian_calendar,egyptian_calendar,Egyptian Calendar,device,-1500,,-1500.0,Ancient Egypt (Thebes),25.687,32.639,"The ancient Egyptian civil calendar, described notably by the Greek historian Herodotus, comprised 365 days divided into 12 months of 30 days, to which 5 additional days called epagomenal days were added each year. From the New Kingdom (around 1550–1070 BC), the months were no longer designated by numbers, but by names linked to religious festivals celebrated mainly in Thebes.",images/devices/calendrier_egyptien.jpg,images/devices/calendrier_egyptien.jpg,content/devices/egyptian_calendar.en.md,-3000.0
planets_and_the_days_of_the_week,planets_and_the_days_of_the_week,Planets and the Days of the Week,device,1000 BCE,-1000.0,-1.0,Babylon (Mesopotamia),32.536,44.42,"As early as the 6th century BC, the Pythagorean school in Greece established a model of the cosmos in which the spherical Earth occupied the motionless center of the universe. Around it revolved the sphere of fixed stars and seven moving bodies: the Sun, the Moon, and five planets visible to the naked eye, nicknamed the ‘seven wanderers.’ All traced perfect circles parallel to the celestial equator.",images/devices/Planetes_jours_semaines_Grece_antique.jpeg,images/devices/Planetes_jours_semaines_Grece_antique.jpeg,content/devices/planets_and_the_days_of_the_week.en.md,-1000.0
early_solar_indicators_gnomons,early_solar_indicators_gnomons,Early Solar Indicators — Gnomons,device,c. 2000–500 BCE,-2000.0,-500.0,Ancient Egypt,25.687,32.639,"Around 3000 BC, the Egyptians were already using the first solar indicators, consisting of a simple vertical rod called a gnomon planted in the ground. The shadow cast by the sun indicated the time by its length and its position on the ground. From this period onward, the Egyptians could measure time with precision by dividing the day between dawn and dusk into 12 equal periods, thus adapting the measurements to seasonal variations",images/devices/Cadran_solaire_portable_Europe_Japon2.jpg,images/devices/Cadran_solaire_portable_Europe_Japon2.jpg,content/devices/early-solar-indicators-gnomons.en.md,-2000.0
babylonian-gnomons,babylonian-gnomons,Babylonian Gnomons,device,c. 1800–500 BCE,-1800.0,-500.0,Babylon (Mesopotamia),32.536,44.42,"Between 3000 and 2000 BC, the Sumerians of Mesopotamia, and later the Babylonians, developed a system of hours in which day and night were each divided into twelve hours. Each hour was itself divided into 60 sexagesimal units, a numerical base still used today to measure time. The length of the hours varied according to the season and latitude, since time was measured by observing the sun, particularly with the use of sundials.",images/devices/Gnomos_babyloniens.jpg,images/devices/Gnomos_babyloniens.jpg,content/devices/babylonian-gnomons.en.md,-1800.0
