id,slug,title,category,year,year_end,years,origin_location,lat,lon,abstract,thumb,image,time_context,sensory_mode,accuracy_level,portability,scale,mechanism_type,region_group,purpose,tags,links,content_path,markdown
jean-romilly,jean-romilly,Jean Romilly,person,1714,1796,1714–1796,Geneva / Paris,46.2044,6.1432,Genevan watchmaker active in Paris; contributed to Enlightenment horology and precision culture.,images/people/jean_romilly_thumb.jpg,images/people/jean_romilly.jpg,,,,,,,Europe,watchmaking,enlightenment;precision,,content/people/jean-romilly.en.md,
jaquet-droz,pierre-jaquet-droz,Pierre Jaquet‑Droz,person,1721,1790,1721–1790,"La Chaux‑de‑Fonds, Switzerland",47.099,6.825,"Swiss watchmaker famed for the automata—the Writer, the Draughtsman, and the Musician.",images/people/jaquet_droz_thumb.jpg,images/people/jaquet_droz.jpg,,,,,,,Europe,automata;horology,automata;showpieces,,content/people/pierre-jaquet-droz.en.md,
lepine,jean-antoine-lepine,Jean‑Antoine Lépine,person,1720,1814,1720–1814,"Lyon / Paris, France",45.764,4.8357,French watchmaker who created the ‘Lépine caliber’ simplifying movement architecture for thin watches.,images/people/lepine_thumb.jpg,images/people/lepine.jpg,,,,,,,Europe,watchmaking,movement;thin;architecture,,content/people/jean-antoine-lepine.en.md,
breguet,abraham-louis-breguet,Abraham‑Louis Breguet,person,1747,1823,1747–1823,"Paris, France",48.8566,2.3522,Innovative watchmaker; inventor of the tourbillon and pioneer of precision portable timekeeping.,images/people/breguet_thumb.jpg,images/people/breguet.jpg,,,,,,,Europe,watchmaking;innovation,tourbillon;subscription-watch,,content/people/abraham-louis-breguet.en.md,
john-harrison,john-harrison,John Harrison,person,1693,1776,1693–1776,"London/Greenwich, Britain",51.4769,-0.0005,Self‑taught carpenter‑turned‑horologist; built the marine chronometers that solved the longitude problem.,images/people/harrison_thumb.jpg,images/people/harrison.jpg,,,,,,,Europe,navigation;longitude,chronometer;Longitude Act,,content/people/john-harrison.en.md,
christiaan-huygens,christiaan-huygens,Christiaan Huygens,person,1629,1695,1629–1695,"The Hague, Dutch Republic",52.0705,4.3007,Dutch mathematician and physicist; invented the pendulum clock and advanced wave theory of light.,images/people/huygens_thumb.jpg,images/people/huygens.jpg,,,,,,,Europe,astronomy;physics,pendulum;escapement,,content/people/christiaan-huygens.en.md,
missionary-clocks-china,missionary_clocks_arrive_in_china,Missionary Clocks Arrive in China,story,1600,1700,1600–1700,"Beijing, China",39.9042,116.4074,"Jesuit missionaries introduced European mechanical clocks at the imperial court, shaping Sino‑European exchanges.",images/stories/missionary_clocks_thumb.jpg,images/stories/missionary_clocks.jpg,public_civic,,,,,,East Asia,diplomacy;science,Jesuits;Qing;exchange,,content/stories/missionary_clocks_arrive_in_china.en.md,content/stories/missionary_clocks_arrive_in_china.en.md
railway-time-britain,railway_time_britain,Railway Time in Britain,story,1830,1855,1830–1855,"London, UK",51.5074,-0.1278,"Railways and telegraphy standardized time across Britain with GMT, synchronizing transport and industry.",images/stories/railway_time_thumb.jpg,images/stories/railway_time.jpg,networked_infrastructure,,,,,,Europe,coordination;transport,railways;standard-time;telegraph,,content/stories/railway_time_britain.en.md,content/stories/railway_time_britain.en.md
time-balls-navigation,time_balls_for_navigation,Time Balls for Navigation,story,1829,1900,1829–1900,"Greenwich, UK",51.4811,,Public time signals—time balls—enabled ships to set chronometers accurately from shore‑based observatories.,images/stories/time_balls_thumb.jpg,images/stories/time_balls.jpg,navigation_maritime,,,,,,Europe,navigation;signal,Greenwich;chronometer;signal,,content/stories/time_balls_for_navigation.en.md,content/stories/time_balls_for_navigation.en.md
longitude-act-1714,longitude_act_and_the_prize_for_time,Longitude Act and the Prize for Time,story,1714,1773,1714–1773,"London, UK",51.5074,-0.1278,"The British Longitude Act offered rewards for a practical method to find longitude at sea, spurring chronometer innovation.",images/stories/longitude_act_thumb.jpg,images/stories/longitude_act.jpg,navigation_maritime,,,,,,Europe,innovation;policy,longitude;prize;chronometer,,content/stories/longitude_act_and_the_prize_for_time.en.md,content/stories/longitude_act_and_the_prize_for_time.en.md
international-time-zones-1884,international_time_zones_1884,International Time Zones (1884),story,1884,1900,1884–1900,Washington D.C. / Greenwich,38.9072,-77.0369,The 1884 International Meridian Conference adopted the Greenwich meridian and standardized time zones worldwide.,images/stories/time_zones_thumb.jpg,images/stories/time_zones.jpg,networked_infrastructure,,,,,,Global,standardization,meridian;zones;GMT,,content/stories/international_time_zones_1884.en.md,content/stories/international_time_zones_1884.en.md
