id,title,category,year,year_end,lat,lon,origin_location,region_group,time_context,mechanism_type,purpose,scale,sensory_mode,accuracy_level,portability,caption,image,thumb,__key,content_path
thomas-tompion,Thomas Tompion,person,1639,1713,51.5074,-0.1278,London,England,Public & civic,Standardized high‑quality clockmaking,Reliable civic/domestic time,Domestic / bracket / longcase,Visual,precision_clock,Fixed,The ‘father of English watchmaking’; standardized production and mentored George Graham—raising English horology’s global stature.,images/people/thomas_tompion.jpg,images/people/thomas_tompion_thumb.jpg,thomas_tompion,content/people/thomas_tompion.en.md
george-graham,George Graham,person,1673,1751,51.5074,-0.1278,Cumberland / London,England,Scientific & observatory,Deadbeat escapement; temperature compensation,Observatory precision,Regulator clocks,Visual,high_precision,Fixed,Refined precision regulators and escapements; his observatory clocks underpinned Enlightenment-era measurements.,images/people/george_graham.jpg,images/people/george_graham_thumb.jpg,george_graham,content/people/george_graham.en.md
ferdinand-berthoud,Ferdinand Berthoud,person,1727,1807,48.8566,2.3522,Couvet / Paris,Switzerland / France,Navigation & maritime,Ship chronometers; technical treatises,Naval navigation,Shipboard / workshop,Visual,high_precision,Portable,Marine chronometer pioneer and prolific author; standardized methods and spread chronometry in France.,images/people/ferdinand_berthoud.jpg,images/people/ferdinand_berthoud_thumb.jpg,ferdinand_berthoud,content/people/ferdinand_berthoud.en.md
pierre-le-roy,Pierre Le Roy,person,1717,1785,48.8566,2.3522,Paris,France,Navigation & maritime,Detent chronometer escapement,Accurate sea timekeeping,Shipboard,Visual,high_precision,Portable,Invented the detent escapement and temperature‑compensated balances; set the model for classical chronometers.,images/people/pierre_le_roy.jpg,images/people/pierre_le_roy_thumb.jpg,pierre_le_roy,content/people/pierre_le_roy.en.md
antide-janvier,Antide Janvier,person,1751,1835,45.764,4.8357,Lyon / Paris,France,Scientific & observatory,Astronomical clocks; resonance regulators,Scientific demonstration,Domestic / salon,Visual,precision_clock,Fixed,"Built planetariums, telluriums, and resonance clocks; poetic synthesis of mechanics and astronomy.",images/people/antide_janvier.jpg,images/people/antide_janvier_thumb.jpg,antide_janvier,content/people/antide_janvier.en.md
louis-moinet,Louis Moinet,person,1768,1853,47.083,2.4,Bourges / Paris,France,Scientific & observatory,‘Compteur de tierces’ (early chronograph-like),Scientific timing,Desktop / lab,Visual,precision_instrument,Portable,Artist‑horologist and author of *Traité d’Horlogerie* (1848); linked precision timing with science and aesthetics.,images/people/louis_moinet.jpg,images/people/louis_moinet_thumb.jpg,louis_moinet,content/people/louis_moinet.en.md
abraham-louis-perrelet,Abraham‑Louis Perrelet,person,1729,1826,47.06,6.75,Le Locle,Switzerland,Personal & wearable,Early self‑winding (automatic) system,Convenient portable time,Handheld,Visual,precision_watch,Portable,Developed rotor‑style self‑winding mechanisms that prefigure modern automatics.,images/people/abraham_louis_perrelet.jpg,images/people/abraham_louis_perrelet_thumb.jpg,abraham_louis_perrelet,content/people/abraham_louis_perrelet.en.md
richard-of-wallingford,Richard of Wallingford,person,1292,1336,51.75,-0.34,St Albans,England,Public & civic,Monumental astronomical clock,Liturgical / civic time,Architectural,Visual,early_mechanical,Fixed,Designed a sophisticated medieval astronomical clock for St Albans Abbey with lunar/tide indications.,images/people/richard_of_wallingford.jpg,images/people/richard_of_wallingford_thumb.jpg,richard_of_wallingford,content/people/richard_of_wallingford.en.md
ismail-al-jazari,Ismail al‑Jazari,person,1136,1206,37.914,40.23,Upper Mesopotamia (Artuqid court),Islamic Golden Age,Public & civic,Water clocks; programmable automata,Spectacle / display / regulation,Architectural / desktop,Visual,hydraulic_mechanical,Fixed,"Authored *Book of Knowledge of Ingenious Mechanical Devices*; integrated hydraulics, gearing, and timing.",images/people/ismail_al_jazari.jpg,images/people/ismail_al_jazari_thumb.jpg,ismail_al_jazari,content/people/ismail_al_jazari.en.md
jules-louis-audemars,Jules Louis Audemars,person,1851,1918,46.6,6.3,Vallée de Joux,Switzerland,Personal & wearable,"High complications (perpetuals, repeaters)",Luxury precision,Handheld / wrist,Visual / auditory,high_complication,Portable,Co‑founded Audemars Piguet; specialized in complex movements that defined the maison’s identity.,images/people/jules_louis_audemars.jpg,images/people/jules_louis_audemars_thumb.jpg,jules_louis_audemars,content/people/jules_louis_audemars.en.md
edward-auguste-piguet,Edward Auguste Piguet,person,1853,1919,46.6,6.3,Vallée de Joux,Switzerland,Personal & wearable,"Finishing, distribution, collaborations",Luxury precision,Handheld / wrist,Visual,high_complication,Portable,Co‑founded Audemars Piguet; anchored finishing standards and international growth.,images/people/edward_auguste_piguet.jpg,images/people/edward_auguste_piguet_thumb.jpg,edward_auguste_piguet,content/people/edward_auguste_piguet.en.md
jean-mo-se-japy,Jean‑Moïse Japy,person,1749,1812,47.5,6.9,Beaucourt,France,Industrial & lab,Mechanized component production,Affordable mass timekeeping,Factory,Visual,industrial_precision,Fixed,Mechanized clock/watch parts in Franche‑Comté; standardized supply for European horology.,images/people/jean_mo_se_japy.jpg,images/people/jean_mo_se_japy_thumb.jpg,jean_mo_se_japy,content/people/jean_moise_japy.en.md
monastic-bells-daily-hours,Monastic Bells & Daily Hours,story,1100,1500,46.433,4.656,"Cluny (Burgundy), Europe",Europe,Public & civic,Tower bells; mechanical striking,Liturgical rhythm; communal coordination,Architectural,Auditory,early_mechanical,Fixed,Monastic schedules structured communal time with bells—an early social clock for Europe.,images/stories/monastic_bells_daily_hours.jpg,images/stories/monastic_bells_daily_hours_thumb.jpg,monastic_bells_daily_hours,content/stories/monastic_bells_daily_hours.en.md
water-clocks-automata-of-al-jazari,Water Clocks & Automata of al‑Jazari,story,1206,1210,37.914,40.23,Artuqid court (Upper Mesopotamia),Islamic Golden Age,Public & civic,Hydraulic clocks; automata,Spectacle and regulation,Architectural / salon,Visual / auditory,hydraulic_mechanical,Fixed,"Al‑Jazari’s programmable water clocks fused engineering, spectacle, and temporal order.",images/stories/water_clocks_automata_of_al_jazari.jpg,images/stories/water_clocks_automata_of_al_jazari_thumb.jpg,water_clocks_automata_of_al_jazari,content/stories/water_clocks_automata_of_al_jazari.en.md
town-clocks-civic-time-in-renaissance-europe,Town Clocks & Civic Time in Renaissance Europe,story,1350,1500,43.7696,11.2558,"Florence, Italy",Europe,Public & civic,Weight‑driven turret clocks,Urban coordination; market time,Architectural,Auditory / visual,mechanical,Fixed,"Public turret clocks synchronized marketplaces, justice, and urban life.",images/stories/town_clocks_civic_time_in_renaissance_europe.jpg,images/stories/town_clocks_civic_time_in_renaissance_europe_thumb.jpg,town_clocks_civic_time_in_renaissance_europe,content/stories/town_clocks_civic_time_in_renaissance_europe.en.md
the-pendulum-revolution,The Pendulum Revolution,story,1656,1700,52.0705,4.3007,The Hague / Paris,Netherlands / France,Scientific & observatory,Pendulum regulators,Accurate scientific timing,Domestic / observatory,Visual,high_precision,Fixed,Huygens’ pendulum transformed clocks from approximate to precise scientific instruments.,images/stories/the_pendulum_revolution.jpg,images/stories/the_pendulum_revolution_thumb.jpg,the_pendulum_revolution,content/stories/the_pendulum_revolution.en.md
solving-longitude-at-sea,Solving Longitude at Sea,story,1714,1773,51.5074,-0.1278,"London, England",England,Navigation & maritime,Marine chronometers,Safe navigation; global trade,Shipboard,Visual,high_precision,Portable,Harrison’s chronometers enabled reliable longitude—remapping oceans and empires.,images/stories/solving_longitude_at_sea.jpg,images/stories/solving_longitude_at_sea_thumb.jpg,solving_longitude_at_sea,content/stories/solving_longitude_at_sea.en.md
factory-time-industrial-discipline,Factory Time & Industrial Discipline,story,1780,1910,53.4808,-2.2426,"Manchester, England",United Kingdom,Industrial & lab,Factory whistles; shift clocks,Labor coordination; productivity,Factory,Auditory / visual,industrial_precision,Fixed,"Industrial time standardized work rhythms, wages, and urban life.",images/stories/factory_time_industrial_discipline.jpg,images/stories/factory_time_industrial_discipline_thumb.jpg,factory_time_industrial_discipline,content/stories/factory_time_industrial_discipline.en.md
railroads-the-invention-of-time-zones,Railroads & the Invention of Time Zones,story,1847,1884,51.5074,-0.1278,"London, UK",United Kingdom / Global,Networked infrastructure,Rail timetables; telegraph sync,Intercity coordination; safety,Network,Visual,precision_network,Fixed,"Rail and telegraph networks forced standardized time, culminating in global time zones.",images/stories/railroads_the_invention_of_time_zones.jpg,images/stories/railroads_the_invention_of_time_zones_thumb.jpg,railroads_the_invention_of_time_zones,content/stories/railroads_the_invention_of_time_zones.en.md
standard-time-in-north-america,Standard Time in North America,story,1883,1918,41.8781,-87.6298,"Chicago, USA",United States / Canada,Networked infrastructure,Rail standard time; time signals,Continental coordination,Network,Visual,precision_network,Fixed,‘The Day of Two Noons’ brought coherent timekeeping to US–Canada rail and cities.,images/stories/standard_time_in_north_america.jpg,images/stories/standard_time_in_north_america_thumb.jpg,standard_time_in_north_america,content/stories/standard_time_in_north_america.en.md
quartz-time,Quartz Time,story,1927,1960,40.7357,-74.1724,New Jersey (Bell Labs),USA,Industrial & lab,Quartz crystal oscillators,High‑stability timing,Lab / consumer,Visual,high_precision,Portable,"Quartz oscillators leapfrogged mechanical limits, seeding modern electronics.",images/stories/quartz_time.jpg,images/stories/quartz_time_thumb.jpg,quartz_time,content/stories/quartz_time.en.md
atomic-time-satellites-gps,"Atomic Time, Satellites & GPS",story,1955,1995,51.4769,0.0005,"Greenwich, UK",Global,Networked infrastructure,Atomic clocks; satellite time transfer,Navigation; networks; finance,Global network,Visual / radio,ultra,Fixed / portable,"Cesium standards and GPS synchronized the planet—precision for navigation, telecom, and finance.",images/stories/atomic_time_satellites_gps.jpg,images/stories/atomic_time_satellites_gps_thumb.jpg,atomic_time_satellites_gps,content/stories/atomic_time_satellites_gps.en.md
